TITLE = "oxygen alpha" 

  VARIABLES = temp	PR_liq_alpha_01MPa	PR_liq_alpha_1MPa	PR_liq_alpha_2MPa	PR_liq_alpha_4MPa	PR_liq_alpha_5MPa	PR_liq_alpha_7MPa	PR_liq_alpha_8MPa	PR_liq_alpha_10MPa
264	0.645978914	0.652658338	0.659518158	0.672114929	0.678001571	0.689043951	0.693793547	0.702886908
265	0.651364734	0.651240705	0.657647007	0.670261463	0.676102393	0.686778541	0.691773099	0.700844708
266	0.64747418	0.648791362	0.656273088	0.668444041	0.674219256	0.685045279	0.689808387	0.698766428
267	0.656866893	0.647515579	0.654333575	0.666539152	0.672358284	0.683058918	0.687907292	0.696655375
268	0.634044571	0.645212898	0.652366584	0.664681425	0.670442389	0.680812609	0.685763941	0.694515004
269	0.647888732	0.644142046	0.65093757	0.662878478	0.668559097	0.679140396	0.684009651	0.692551147
270	0.652648324	0.642050487	0.648943745	0.661001963	0.666629289	0.677220073	0.682019977	0.690366492
271	0.648118876	0.641251103	0.646944144	0.659192421	0.664830164	0.675045072	0.679788551	0.6883728
272	0.634091309	0.639438609	0.645525793	0.657318201	0.662907787	0.673048516	0.677977153	0.686372005
273	0.63470611	0.63658984	0.643544992	0.655523847	0.661040882	0.671243421	0.67593172	0.68436842
274	0.625941294	0.635100248	0.642175698	0.653674354	0.659236809	0.669190151	0.673990453	0.682366513
275	0.632483614	0.63502992	0.640246481	0.651918324	0.657411236	0.66734189	0.672162768	0.680370902
276	0.629779084	0.631491028	0.638352321	0.650117347	0.655568162	0.665712282	0.670103524	0.678160146
277	0.617623594	0.631884729	0.637117201	0.648424138	0.653711722	0.663842394	0.668166821	0.676188077
278	0.621533808	0.628764761	0.6353273	0.646545627	0.651941837	0.661726138	0.666362631	0.674237064
279	0.616140711	0.627142756	0.633599797	0.644786029	0.650072899	0.659843887	0.664330415	0.672312343
280	0.627525436	0.627082417	0.631944273	0.642999931	0.648302047	0.658210146	0.66244054	0.670419301
281	0.629769142	0.623412774	0.630370549	0.641191336	0.646538352	0.656339409	0.660321942	0.668319346
282	0.622674099	0.623965568	0.628236486	0.639523447	0.64468587	0.654225811	0.658743102	0.6665028
283	0.633177551	0.620864957	0.626849257	0.637684406	0.642949893	0.652377782	0.656553675	0.664483509
284	0.607091831	0.619412913	0.624907293	0.635998776	0.641132629	0.650549973	0.654925937	0.662511544
285	0.626506096	0.616940402	0.623073474	0.634312077	0.639340133	0.648694466	0.653080406	0.660592991
286	0.608934775	0.616192196	0.622041607	0.632461895	0.637577804	0.646867752	0.651011741	0.658734087
287	0.609918412	0.61444021	0.619774217	0.630785316	0.635851184	0.645075025	0.649129576	0.656674682
288	0.601540445	0.611662807	0.618331368	0.629122238	0.634057144	0.643211565	0.647445669	0.65495059
289	0.61251626	0.610696804	0.61704184	0.627304456	0.632307591	0.641389957	0.645545522	0.653031546
290	0.614341335	0.608723772	0.615203206	0.625681841	0.63060847	0.639615773	0.64385622	0.650912755
291	0.606823955	0.608643033	0.613526011	0.623910995	0.628852931	0.637780247	0.641952018	0.649153483
292	0.619592107	0.607575274	0.612022558	0.622350459	0.62715736	0.636000713	0.63982781	0.647200614
293	0.593114803	0.605499672	0.609966799	0.620648673	0.625412371	0.634224387	0.638378301	0.645339438
294	0.617595814	0.602394959	0.608840614	0.618805014	0.62362022	0.632455089	0.636266615	0.643577274
295	0.602449751	0.601287539	0.607171574	0.617191212	0.621901841	0.630636484	0.634393537	0.641623674
296	0.608683539	0.599172959	0.60571148	0.615443197	0.620263977	0.628892368	0.632772206	0.63977611
297	0.605668549	0.599142834	0.603702151	0.613941671	0.618592056	0.62710558	0.630941996	0.638042288
298	0.593215314	0.598129157	0.601912157	0.612121372	0.616888759	0.625340625	0.629378174	0.636119944
299	0.603161747	0.596111632	0.600355365	0.610560377	0.61515686	0.623601852	0.627608248	0.634318979
300	0.60393527	0.593069541	0.599045889	0.608877559	0.613399222	0.621829559	0.625627548	0.632329069
301	0.595350146	0.59222684	0.597192475	0.607272397	0.611746145	0.62009089	0.623929979	0.630791145
302	0.577216867	0.590385265	0.59559818	0.605550016	0.610076327	0.61839051	0.622024791	0.628745732
